Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2024",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Year,Total,Years of school completed,,,,,,,,,,,,,,
,,Elementary,,High school,,College,,Median,,,,,,,,
,,0 to 4 years,5 to 8 years,1 to 3 years,4 years,1 to 3 years,4 years or more,,,,,,,,,
"25 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
1962,"23,206",946,"5,250","4,579","8,466","2,310","1,655",12.1,,,,,,,,
1960,"22,823","1,027","6,121","4,923","7,153","2,166","1,433",11.6,,,,,,,,
1959,"22,478",953,"5,876","4,390","7,640","1,888","1,459",12.0,,,,,,,,
1957,"21,772","1,167","6,056","4,397","6,846","1,690","1,388",11.5,,,,,,,,
1952,"20,126","1,140","6,762","3,886","5,334","1,630","1,226",10.7,,,,,,,,
1950,"19,536","1,570","7,082","3,637","4,111","1,607","1,113",9.7,,,,,,,,
1947,"18,552","1,525","7,419","3,209","3,808","1,454",963,9.3,,,,,,,,
1940,"16,718","2,070","7,812","2,584","2,419","1,017",623,8.7,,,,,,,,
"55 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
2024,"100,500","1,327","3,165","5,541","30,180","25,920","34,330",N,,,,,,,,
2023,"99,270","1,216","3,134","5,490","30,890","25,470","33,070",N,,,,,,,,
2022,"98,371","1,400","2,948","5,637","30,830","25,322","32,234",N,,,,,,,,
2021,"97,613","1,257","3,021","5,707","30,155","24,978","32,494",N,,,,,,,,
2020,"96,798","1,253","3,099","5,981","29,539","25,071","31,856",N,,,,,,,,
2019,"94,543","1,233","3,434","6,062","29,317","24,587","29,910",N,,,,,,,,
2018,"92,780","1,258","3,535","6,273","29,545","23,970","28,200",N,,,,,,,,
2017,"90,599","1,280","3,465","6,143","28,916","23,351","27,444",N,,,,,,,,
2016,"88,682","1,406","3,584","6,009","28,481","22,981","26,221",N,,,,,,,,
2015,"86,411","1,447","3,690","6,276","28,457","21,785","24,756",N,,,,,,,,
2014,"84,134","1,365","3,829","6,094","27,962","21,059","23,825",N,,,,,,,,
2013,"81,778","1,306","3,931","6,043","27,046","20,387","23,066",N,,,,,,,,
2012,"79,478","1,348","3,974","6,344","26,531","19,343","21,937",N,,,,,,,,
2011,"76,163","1,372","4,073","5,983","25,622","18,408","20,705",N,,,,,,,,
2010,"74,008","1,440","4,118","6,051","25,125","17,354","19,920",N,,,,,,,,
2009,"72,077","1,555","4,101","6,338","24,154","16,877","19,051",N,,,,,,,,
2008,"70,092","1,411","4,294","6,338","23,779","16,378","17,892",N,,,,,,,,
2007,"68,226","1,576","4,458","6,680","23,408","15,505","16,599",N,,,,,,,,
2006,"66,485","1,628","4,610","6,508","22,961","14,824","15,956",N,,,,,,,,
2005,"64,745","1,614","4,803","6,784","22,392","14,083","15,069",N,,,,,,,,
2004,"63,034","1,465","4,907","6,821","21,918","13,434","14,488",N,,,,,,,,
2003,"61,633","1,589","5,372","6,876","21,554","12,884","13,358",N,,,,,,,,
2002,"59,644","1,528","5,639","7,258","20,728","12,117","12,374",N,,,,,,,,
2001,"58,238","1,544","5,589","7,178","20,622","11,864","11,440",N,,,,,,,,
2000,"56,008","1,524","5,780","6,921","20,059","11,126","10,598",N,,,,,,,,
1999,"55,303","1,589","5,978","7,096","19,742","10,722","10,174",N,,,,,,,,
1998,"54,337","1,624","6,126","7,385","19,526","10,022","9,654",N,,,,,,,,
1997,"53,352","1,628","6,622","7,543","18,823","9,565","9,169",N,,,,,,,,
1996,"52,742","1,642","6,716","7,520","18,549","9,642","8,677",N,,,,,,,,
1995,"52,022","1,755","7,048","7,232","18,320","9,662","8,005",N,,,,,,,,
1994,"51,516","1,802","7,382","7,454","18,228","8,890","7,761",N,,,,,,,,
1993,"52,117","2,058","8,038","7,637","18,626","8,106","7,652",N,,,,,,,,
1992,"51,740","2,118","8,133","7,756","18,397","8,005","7,332",N,,,,,,,,
1991,"51,439","2,341","8,668","7,675","18,954","6,540","7,258",12.6,,,,,,,,
1990,"50,798","2,349","9,239","7,893","18,050","6,202","7,064",12.3,,,,,,,,
1989,"50,421","2,412","9,395","7,907","18,102","5,914","6,693",12.3,,,,,,,,
1988,"50,128","2,325","9,969","7,860","18,004","5,705","6,263",12.3,,,,,,,,
1987,"49,858","2,408","10,544","7,766","17,310","5,799","6,033",12.2,,,,,,,,
1986,"49,383","2,611","10,699","7,917","16,876","5,515","5,767",12.2,,,,,,,,
1985,"48,969","2,612","11,052","7,872","16,516","5,208","5,708",12.2,,,,,,,,
1984,"48,324","2,584","11,131","7,636","16,353","5,026","5,593",12.2,,,,,,,,
1983,"47,723","2,769","11,348","7,703","15,470","4,915","5,514",12.1,,,,,,,,
1982,"47,102","2,818","11,541","7,751","15,091","4,807","5,095",12.1,,,,,,,,
1981,"46,391","2,983","11,909","7,600","14,464","4,721","4,711",12.0,,,,,,,,
1980,"45,670","2,994","12,326","7,451","13,869","4,494","4,535",12.0,,,,,,,,
1979,"43,806","2,924","12,230","6,999","13,088","4,321","4,245",12.0,,,,,,,,
1978,"42,977","3,013","12,593","7,069","12,376","4,086","3,843",11.6,,,,,,,,
1977,"42,176","3,047","12,740","6,823","11,977","3,835","3,754",11.3,,,,,,,,
1976,"41,429","3,107","12,674","6,915","11,346","3,709","3,677",11.1,,,,,,,,
1975,"40,613","3,303","13,045","6,730","10,798","3,442","3,295",10.8,,,,,,,,
1974,"39,817","3,461","13,302","6,615","10,060","3,233","3,145",10.4,,,,,,,,
1973,"39,163","3,424","13,467","6,504","9,604","3,060","3,105",10.2,,,,,,,,
1972,"38,659","3,471","13,706","6,351","9,136","2,952","3,042",10.0,,,,,,,,
1971,"38,787","3,808","14,430","6,225","8,463","2,878","2,982",9.6,,,,,,,,
1970,"38,126","3,957","14,647","5,877","8,005","2,797","2,843",9.2,,,,,,,,
1969,"37,424","4,012","14,576","5,801","7,768","2,615","2,653",9.1,,,,,,,,
1968,"36,789","4,244","14,522","5,760","7,085","2,624","2,558",8.9,,,,,,,,
1967,"36,155","4,310","14,849","5,495","6,622","2,443","2,434",8.7,,,,,,,,
1966,"35,540","4,438","14,742","5,392","6,240","2,358","2,370",8.6,,,,,,,,
1965,"34,969","4,612","14,814","5,293","5,844","2,194","2,215",8.5,,,,,,,,
1964,"34,335","4,888","14,701","4,954","5,598","2,159","2,033",8.3,,,,,,,,
1962,"33,247","5,048","14,707","4,442","4,994","2,166","1,890",8.1,,,,,,,,
1960,"31,902","5,169","14,944","4,503","3,757","2,051","1,479",8.5,,,,,,,,
1959,"30,567","4,752","13,485","4,060","3,996","1,775","1,545",8.1,,,,,,,,
1957,"29,548","5,153","12,996","3,602","3,864","1,462","1,461",8.0,,,,,,,,
1952,"26,206","4,554","12,638","2,982","3,080","1,346","1,264",7.7,,,,,,,,
1950,"25,427","4,940","11,947","2,791","2,704","1,170","1,005",8.3,,,,,,,,
1947,"23,234","4,393","11,601","2,179","2,581","1,003",825,7.5,,,,,,,,
1940,"19,592","4,178","10,467","1,656","1,633",685,579,8.2,,,,,,,,
"55 Years and Over, Male",,,,,,,,,,,,,,,,
2024,"47,130",558,"1,518","2,751","14,110","11,470","16,720",N,,,,,,,,
2023,"46,530",526,"1,454","2,736","14,240","11,330","16,250",N,,,,,,,,
2022,"46,189",688,"1,396","2,825","14,054","11,327","15,898",N,,,,,,,,
2021,"45,252",596,"1,375","2,740","13,472","11,162","15,906",N,,,,,,,,
2020,"45,143",566,"1,459","2,802","13,410","11,009","15,897",N,,,,,,,,
2019,"43,789",547,"1,649","2,800","12,976","10,724","15,093",N,,,,,,,,
2018,"42,961",522,"1,670","2,851","13,041","10,630","14,247",N,,,,,,,,
2017,"41,901",561,"1,617","2,813","12,808","10,288","13,814",N,,,,,,,,
2016,"40,988",624,"1,708","2,814","12,374","10,236","13,231",N,,,,,,,,
2015,"39,895",608,"1,765","2,707","12,398","9,863","12,556",N,,,,,,,,
2014,"38,850",544,"1,790","2,800","12,150","9,320","12,246",N,,,,,,,,
2013,"37,621",557,"1,790","2,605","11,539","9,060","12,070",N,,,,,,,,
2012,"36,489",614,"1,775","2,754","11,220","8,574","11,552",N,,,,,,,,
2011,"35,027",597,"1,934","2,625","10,676","8,230","10,966",N,,,,,,,,
2010,"33,778",647,"1,923","2,611","10,399","7,672","10,525",N,,,,,,,,
2009,"32,814",689,"1,874","2,669","9,886","7,456","10,241",N,,,,,,,,
2008,"31,841",631,"1,932","2,751","9,510","7,259","9,759",N,,,,,,,,
2007,"30,920",721,"2,060","2,884","9,505","6,723","9,026",N,,,,,,,,
2006,"30,060",705,"2,090","2,784","9,488","6,193","8,837",N,,,,,,,,
2005,"29,198",717,"2,157","2,896","8,918","6,167","8,341",N,,,,,,,,
2004,"28,347",639,"2,192","2,885","8,631","5,841","8,159",N,,,,,,,,
2003,"27,694",729,"2,423","2,912","8,425","5,694","7,510",N,,,,,,,,
2002,"26,608",664,"2,601","3,048","8,063","5,257","6,975",N,,,,,,,,
2001,"25,908",697,"2,558","2,964","8,073","5,131","6,485",N,,,,,,,,
2000,"25,023",706,"2,696","2,817","7,816","4,906","6,079",N,,,,,,,,
1999,"24,694",712,"2,746","2,911","7,712","4,756","5,856",N,,,,,,,,
1998,"24,197",755,"2,740","3,000","7,745","4,461","5,496",N,,,,,,,,
1997,"23,668",773,"3,026","3,060","7,417","4,139","5,255",N,,,,,,,,
1996,"23,352",795,"3,058","2,998","7,198","4,254","5,055",N,,,,,,,,
1995,"22,881",839,"3,153","2,980","6,980","4,254","4,675",N,,,,,,,,
1994,"22,669",894,"3,327","3,037","6,987","3,962","4,462",N,,,,,,,,
1993,"23,038",992,"3,595","3,174","7,178","3,587","4,508",N,,,,,,,,
1992,"22,836","1,033","3,676","3,277","6,991","3,549","4,312",N,,,,,,,,
1991,"22,708","1,217","3,980","3,183","7,287","2,850","4,193",12.4,,,,,,,,
1990,"22,337","1,182","4,141","3,274","6,986","2,707","4,046",12.4,,,,,,,,
1989,"22,167","1,202","4,198","3,317","7,003","2,616","3,829",12.3,,,,,,,,
1988,"21,989","1,117","4,471","3,366","6,968","2,455","3,609",12.3,,,,,,,,
1987,"21,855","1,160","4,762","3,261","6,673","2,504","3,496",12.3,,,,,,,,
1986,"21,622","1,275","4,813","3,286","6,509","2,355","3,385",12.2,,,,,,,,
1985,"21,391","1,252","5,001","3,234","6,387","2,229","3,289",12.2,,,,,,,,
1984,"21,014","1,209","4,951","3,270","6,265","2,185","3,132",12.2,,,,,,,,
1983,"20,769","1,343","4,986","3,282","5,906","2,141","3,117",12.1,,,,,,,,
1982,"20,508","1,362","5,026","3,313","5,759","2,102","2,946",12.1,,,,,,,,
1981,"20,237","1,394","5,165","3,292","5,597","2,032","2,758",12.0,,,,,,,,
1980,"19,967","1,424","5,436","3,206","5,409","1,986","2,506",11.9,,,,,,,,
1979,"19,292","1,446","5,479","2,964","5,167","1,935","2,301",11.8,,,,,,,,
1978,"18,939","1,467","5,701","2,919","4,919","1,824","2,110",11.4,,,,,,,,
1977,"18,608","1,502","5,770","2,787","4,835","1,700","2,011",11.2,,,,,,,,
1976,"18,233","1,507","5,733","2,884","4,473","1,646","1,989",11.0,,,,,,,,
1975,"17,903","1,628","5,845","2,871","4,308","1,480","1,768",10.5,,,,,,,,
1974,"17,579","1,693","6,042","2,817","3,993","1,356","1,682",10.1,,,,,,,,
1973,"17,263","1,678","6,111","2,774","3,811","1,245","1,645",9.9,,,,,,,,
1972,"17,120","1,728","6,252","2,698","3,612","1,215","1,614",9.6,,,,,,,,
1971,"17,288","1,913","6,629","2,668","3,285","1,214","1,579",9.1,,,,,,,,
1970,"17,074","2,011","6,655","2,583","3,127","1,182","1,516",9.0,,,,,,,,
1969,"16,822","2,003","6,701","2,536","3,099","1,086","1,397",8.8,,,,,,,,
1968,"16,609","2,137","6,728","2,523","2,816","1,078","1,328",8.7,,,,,,,,
1967,"16,398","2,247","6,827","2,379","2,685",989,"1,271",8.5,,,,,,,,
1966,"16,201","2,288","6,944","2,317","2,491",939,"1,223",8.3,,,,,,,,
1965,"16,015","2,368","6,992","2,265","2,331",893,"1,164",8.2,,,,,,,,
1964,"15,789","2,504","6,897","2,159","2,237",876,"1,113",8.1,,,,,,,,
1962,"15,440","2,644","6,813","2,032","2,030",864,"1,057",8.0,,,,,,,,
1960,"14,895","2,704","7,121","1,969","1,453",853,796,8.4,,,,,,,,
1959,"14,304","2,491","6,436","1,759","1,584",718,857,7.9,,,,,,,,
1957,"13,967","2,696","6,244","1,570","1,493",608,831,7.7,,,,,,,,
1952,"12,544","2,428","6,162","1,318","1,262",528,636,7.5,,,,,,,,
1950,"12,277","2,609","5,808","1,209","1,111",500,569,8.2,,,,,,,,
1947,"11,424","2,393","5,656",939,"1,109",464,482,7.3,,,,,,,,
1940,"9,815","2,293","5,249",724,660,313,361,8.1,,,,,,,,
"55 Years and Over, Female",,,,,,,,,,,,,,,,
2024,"53,330",769,"1,647","2,790","16,070","14,450","17,610",N,,,,,,,,
2023,"52,740",691,"1,680","2,754","16,650","14,150","16,820",N,,,,,,,,
2022,"52,182",711,"1,552","2,812","16,776","13,995","16,336",N,,,,,,,,
2021,"52,361",661,"1,646","2,967","16,682","13,816","16,588",N,,,,,,,,
2020,"51,656",687,"1,640","3,179","16,129","14,062","15,958",N,,,,,,,,
2019,"50,755",687,"1,786","3,262","16,341","13,862","14,817",N,,,,,,,,
2018,"49,819",736,"1,865","3,422","16,504","13,340","13,953",N,,,,,,,,
2017,"48,698",719,"1,849","3,329","16,107","13,063","13,630",N,,,,,,,,
2016,"47,694",782,"1,875","3,195","16,107","12,745","12,990",N,,,,,,,,
2015,"46,516",839,"1,925","3,570","16,059","11,922","12,201",N,,,,,,,,
2014,"45,284",821,"2,039","3,295","15,812","11,739","11,578",N,,,,,,,,
2013,"44,158",749,"2,141","3,438","15,507","11,327","10,996",N,,,,,,,,
2012,"42,989",734,"2,199","3,590","15,311","10,769","10,384",N,,,,,,,,
2011,"41,136",775,"2,140","3,358","14,946","10,178","9,739",N,,,,,,,,
2010,"40,230",793,"2,195","3,440","14,725","9,682","9,395",N,,,,,,,,
2009,"39,263",867,"2,228","3,669","14,268","9,421","8,810",N,,,,,,,,
2008,"38,251",780,"2,362","3,588","14,269","9,119","8,133",N,,,,,,,,
2007,"37,306",855,"2,398","3,796","13,902","8,781","7,573",N,,,,,,,,
2006,"36,425",922,"2,521","3,761","13,472","8,630","7,119",N,,,,,,,,
2005,"35,547",897,"2,645","3,887","13,474","7,916","6,728",N,,,,,,,,
2004,"34,687",826,"2,715","3,936","13,287","7,593","6,329",N,,,,,,,,
2003,"33,939",860,"2,949","3,964","13,129","7,190","5,848",N,,,,,,,,
2002,"33,035",864,"3,038","4,210","12,664","6,860","5,399",N,,,,,,,,
2001,"32,329",847,"3,032","4,213","12,549","6,733","4,956",N,,,,,,,,
2000,"30,985",817,"3,085","4,105","12,243","6,218","4,517",N,,,,,,,,
1999,"30,609",879,"3,232","4,186","12,031","5,965","4,319",N,,,,,,,,
1998,"30,140",868,"3,386","4,386","11,780","5,560","4,160",N,,,,,,,,
1997,"29,684",855,"3,596","4,483","11,407","5,427","3,916",N,,,,,,,,
1996,"29,390",848,"3,659","4,523","11,350","5,387","3,623",N,,,,,,,,
1995,"29,142",915,"3,894","4,255","11,340","5,410","3,330",N,,,,,,,,
1994,"28,848",909,"4,054","4,419","11,242","4,926","3,298",N,,,,,,,,
1993,"29,080","1,066","4,442","4,462","11,447","4,519","3,149",N,,,,,,,,
1992,"28,904","1,084","4,456","4,478","11,409","4,455","3,021",N,,,,,,,,
1991,"28,729","1,125","4,687","4,495","11,667","3,690","3,066",12.3,,,,,,,,
1990,"28,461","1,167","5,098","4,619","11,063","3,495","3,019",12.3,,,,,,,,
1989,"28,255","1,211","5,195","4,587","11,099","3,300","2,863",12.3,,,,,,,,
1988,"28,139","1,208","5,498","4,495","11,034","3,250","2,655",12.3,,,,,,,,
1987,"28,004","1,248","5,782","4,504","10,637","3,294","2,539",12.2,,,,,,,,
1986,"27,762","1,336","5,886","4,630","10,367","3,160","2,382",12.2,,,,,,,,
1985,"27,578","1,360","6,052","4,638","10,129","2,979","2,420",12.2,,,,,,,,
1984,"27,309","1,377","6,183","4,363","10,086","2,843","2,459",12.2,,,,,,,,
1983,"26,954","1,428","6,364","4,423","9,567","2,774","2,398",12.1,,,,,,,,
1982,"26,593","1,458","6,511","4,435","9,330","2,705","2,150",12.1,,,,,,,,
1981,"26,152","1,589","6,742","4,308","8,868","2,690","1,954",12.0,,,,,,,,
1980,"25,703","1,571","6,889","4,245","8,460","2,509","2,030",12.0,,,,,,,,
1979,"24,514","1,474","6,750","4,034","7,920","2,389","1,944",12.0,,,,,,,,
1978,"24,038","1,545","6,889","4,149","7,457","2,263","1,733",11.6,,,,,,,,
1977,"23,568","1,546","6,972","4,034","7,141","2,135","1,742",11.0,,,,,,,,
1976,"23,196","1,602","6,942","4,029","6,871","2,063","1,690",11.0,,,,,,,,
1975,"22,710","1,675","7,198","3,858","6,490","1,962","1,527",10.9,,,,,,,,
1974,"22,238","1,762","7,261","3,799","6,068","1,880","1,463",10.7,,,,,,,,
1973,"21,900","1,746","7,359","3,729","5,790","1,814","1,461",10.5,,,,,,,,
1972,"21,539","1,743","7,455","3,654","5,526","1,737","1,425",10.3,,,,,,,,
1971,"21,500","1,896","7,805","3,556","5,179","1,665","1,402",9.9,,,,,,,,
1970,"21,052","1,946","7,993","3,292","4,879","1,615","1,327",9.5,,,,,,,,
1969,"20,601","2,009","7,878","3,264","4,669","1,526","1,255",9.4,,,,,,,,
1968,"20,180","2,106","7,795","3,237","4,269","1,544","1,229",9.2,,,,,,,,
1967,"19,756","2,063","8,021","3,117","3,937","1,454","1,164",8.9,,,,,,,,
1966,"19,339","2,152","7,797","3,074","3,749","1,419","1,147",8.9,,,,,,,,
1965,"18,955","2,243","7,821","3,026","3,514","1,300","1,048",8.7,,,,,,,,
1964,"18,546","2,383","7,805","2,794","3,360","1,282",920,8.5,,,,,,,,
1962,"17,807","2,404","7,894","2,410","2,964","1,302",833,8.3,,,,,,,,
1960,"17,007","2,465","7,823","2,534","2,304","1,198",683,8.6,,,,,,,,
1959,"16,263","2,261","7,049","2,301","2,412","1,057",688,8.3,,,,,,,,
1957,"15,581","2,457","6,752","2,032","2,371",854,630,8.2,,,,,,,,
1952,"13,662","2,126","6,476","1,664","1,818",818,628,7.9,,,,,,,,
1950,"13,150","2,331","6,139","1,582","1,593",670,436,8.4,,,,,,,,
1947,"11,810","2,000","5,945","1,240","1,472",539,343,7.6,,,,,,,,
1940,"9,777","1,886","5,217",932,973,372,219,8.3,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
" - Starting in 2001, data are from the expanded Current Population Survey sample.",,,,,,,,,,,,,,,,
" - Beginning with data for 1992, a new question results in different categories than for earlier years:
      Data shown as 'High School, 4 years' are now collected in the category 'High School Graduate.'
      Data shown as 'College 1 to 3 years' are now collected in the 'Some college' and the two 'Associate degree' categories.
      Data shown as 'College 4 years or more,' are now collected in the categories, 'Bachelor's degree,' Master's degree,'
      'Doctorate degree,' and 'Professional degree.'
      Due to the change in question format, median years of schooling cannot be derived.",,,,,,,,,,,,,,,,
" - For the years 1959 and earlier, total includes persons who did not report on years of school completed.",,,,,,,,,,,,,,,,
 - N - Not Available,,,,,,,,,,,,,,,,
 - Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>.",,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 1947, 1952, 1957, 1959, 1962 and 1964 to 2002 March Current Population Survey, 2003 to 2024 Annual Social and Economic Supplement to the Current Population Survey (noninstitutionalized population, excluding members of the Armed Forces living in barracks); 1960 Census of Population, 1950 Census of Population and 1940 Census of Population (resident population).",,,,,,,,,,,,,,,,
"Contact: U.S. Census Bureau, Education and Social Stratification Branch, (301) 763-2464.",,,,,,,,,,,,,,,,
